LOG Base Infectivity,Infectious Period
0.1320512006135579,9.051498703379696
-0.22556909650411072,2.9478077581420083
0.16529748556692136,7.974468647933172
-0.12356055954286038,7.820745238230722
-0.19841186281308854,6.060715421589029
0.27200966479566424,7.610034068680423
-0.013881189653441983,9.870451696911465
-0.30612746784285494,6.235488137043203
-0.2834971693711674,8.13402791542499
0.020603410247014953,5.513306625581329
-0.3522812242754052,4.1300756815289095
-0.3958483809361919,6.418547150007886
0.05187618888691725,8.178377784340526
-0.38121321516438966,4.2519469072901614
-0.3216573872926769,6.199706095899474
-0.21960103146069487,3.4573334001363603
-0.0006720831527451399,5.921868019158185
-0.15178397851766823,3.6776167523175887
-0.39285216870510253,9.477911139232683
-0.437513645938826,7.636948908623138
-0.10278247538317764,7.887537326871289
-0.01654246892729294,6.620574722292276
-0.04484540742966625,7.361568985470882
-0.1598575875531556,9.901547512726065
-0.20042946577351173,7.152286961610493
0.09909202877709156,7.6512706636523395
0.20761405792150067,9.889340667258919
-0.43067639768972654,9.67505999017165
0.2558720452597605,6.456701567516778
-0.20555012184850552,3.5795174834683707
-0.0395336632148946,6.961966510172355
-0.4066722779381058,9.5226978549682
0.1535630345129193,6.189463248287668
-0.12321544109780036,6.89040132346749
-0.06252159833512672,5.472785224834648
-0.3003870465345404,5.815417654189307
-0.17450023786804358,6.157794656764473
-0.505405631661114,9.991638144225613
0.23569587135460446,7.879208031007049
0.009291885509748576,7.9434305602830095
-0.2279970878830433,5.265818359877533
0.16597840308171596,9.401453216183738
-0.3209436781239132,8.998200540878774
0.3108279405467018,9.622796076000045
-0.14275385789563744,8.545953526214628
0.06797935310323266,7.380968939380767
-0.09445962701022548,8.196508225636682
-0.3418739381804581,8.387302884635723
0.1720907473261375,6.1035142039254575
-0.37309064407637305,5.5908913160707705
-0.4119025998325876,6.01802500166148
-0.16485829423639942,5.860006585838793
0.07715700194613007,8.07006198007421
-0.23241399057149092,4.072737437223234
-0.2877388898543649,8.346886476346672
-0.024163486378879107,7.042957113476505
-0.1335520105330945,3.910535334408053
-0.3338592487026937,7.754437649565709
-0.3620311480163527,8.904688036797971
-0.2509536913327658,3.0122961785665483
-0.25904981250850545,3.844208997278407
0.1109885312798431,5.985299667623909
0.08960038745751486,7.335920804534948
0.12845979815090303,7.319972222786381
