beta,gamma
1.0628038352789495,0.7863470107116414
0.5388396037503494,0.2329081171399332
0.8340982178908596,0.49405274078726313
0.7834141255697359,0.4496482711890315
0.677623085676968,0.4378650090021293
0.3249181334855114,0.10212220308924044
0.6579347488074269,0.33093065986815207
0.4399147509702944,0.2025043370217038
0.4661803253624306,0.22087662722038387
0.883102596254447,0.5281564383824021
1.0119516627384344,0.7227912444910565
0.3492222260622089,0.1375685228863478
0.7979823252375118,0.4423884373328586
0.8608183085594348,0.49960969303795166
0.9616334133729183,0.6773394005098428
0.8102237835399144,0.49559697319435114
0.6434707598111087,0.38449792674549876
0.8891620490895538,0.6072667453482485
0.7500156312262908,0.4537800825073628
0.547698069209123,0.33347883508997683
0.9567722063278989,0.6084837843898192
0.787189300197258,0.5440206289686083
0.7719229015822754,0.4583102770028672
0.5898010627048423,0.3000831319525332
1.0532115879680466,0.7517657813096548
0.5949222782644426,0.3316761369740132
0.5977034921011599,0.28828603592877633
0.5428460285240538,0.23803959047978643
0.5100026605693955,0.20715355376980615
1.0398949883285853,0.6872723725940534
0.9817406251239642,0.6842591925471249
0.478455277497632,0.24695451896723555
0.9371322051661954,0.6429997530508331
0.7257832677988929,0.405615761748122
0.7744772426030158,0.44827532903191425
0.8258587773707164,0.45520135717914534
0.6995056140172817,0.3732863372416191
0.4350662176998039,0.1720793382795543
0.9918101545492286,0.6571589739818661
0.923287761110297,0.5691072481147279
0.9168134072797365,0.552918166896597
0.38853304804380295,0.1313689880450202
0.8974305123276285,0.6049805833579495
0.643740598204958,0.3954032844794989
1.0725596006883207,0.759715717592882
1.0546854661592069,0.7869833764999844
0.5075183533216554,0.29520834728689044
0.38743844825016494,0.1316317593888444
0.7257780874772086,0.4366368392615064
0.6226167863128154,0.3268933003002047
0.6101463236664036,0.3880978443407431
0.8898191182171105,0.5346187903334841
0.9037535357885818,0.5386989231674807
0.9155578613312008,0.5631582389894234
1.0073128526103923,0.6645316453915349
0.5837418196767521,0.28380236152828253
1.0873374346928035,0.7818335871920943
0.8808904765604038,0.5856977156321382
0.8406538020634158,0.5751169534824384
0.5317040008286174,0.25098463949983757
0.975187569168797,0.6395075342739015
0.7933739484276277,0.46062091712084985
1.061084134647724,0.7569186000822911
1.0482012472745539,0.6999584607396531
0.5815378049106266,0.3082058873231802
0.3944214762489904,0.10599252922434493
0.538303243720823,0.26352923071848217
0.7940295109482485,0.49510355316188037
0.8062166024959561,0.5411434627437902
0.9433114081112961,0.6294404918586732
1.0853376892637578,0.7726482655589203
0.7703935091558376,0.5139266082574506
0.8397381178514358,0.5479958496208133
0.6748083326227237,0.3993911628696265
0.6706982384180199,0.3953097635040652
0.8336161532813824,0.47406799450385084
0.7689802707005837,0.4502446967661786
0.5177709765284281,0.2270569792536153
