beta,gamma
0.6611710434308034,0.4861823571844551
0.6977760002780595,0.5794566194876251
1.0165171292660924,0.6817033878508525
0.46288870081379946,0.29020888641507914
0.8430269500657752,0.6513668361393182
0.3033845746455727,0.1952806103429204
0.6410123738277878,0.4960065499910763
0.9960087842779144,0.6483429631454644
0.602216173378565,0.4261556727118455
0.904404688359348,0.591120155799065
0.5078379946385411,0.31859640042219384
0.896100304430731,0.6550185116879111
0.5810567550063181,0.41650960954526717
0.767743303185648,0.5482620436399746
0.4901014248598024,0.2588140614127027
0.7079533225035554,0.3529187703417287
0.9804106814863411,0.7537099854312945
0.7595243148819877,0.4896154435560274
0.7131557017516251,0.4403527942341884
0.7525773667612192,0.6107724179716515
0.8189562277024767,0.6747161256701165
1.0087619462158877,0.7065219241099068
0.3740344208071062,0.2414208281948819
0.36693506862391806,0.1557095280350066
0.630494859534617,0.34453482435997346
0.5451052540634622,0.29213944823437143
0.6662685173681173,0.478417964980693
0.5125325400308721,0.39387109874237436
0.4354945309060467,0.14781476328217602
0.4605493016163178,0.14388292557566015
0.6819855056567717,0.5023396817823312
0.6572654929071998,0.5468076181055554
0.6209227771606631,0.39543348087150176
1.0379481277604437,0.7082063657259116
0.5739226803689029,0.4169478626316552
0.9153903504329082,0.6626933125451666
0.5578796108277361,0.2727313871560987
0.9921507284397291,0.7941596091532885
0.6636295549900728,0.48855705305212704
0.43200504467120665,0.18257236645684005
0.5686020755784154,0.2233629043929819
0.7029663130455808,0.4371427080013026
0.7320084132605591,0.4760595483433647
0.4743875550310137,0.17171463075879245
1.0343957527618741,0.7098652992467156
0.8828832713329711,0.7367670205845149
0.596624387157149,0.28055541537875506
0.9764409149010904,0.6503853708655797
0.5984870590705054,0.3074821445127076
0.7950554088344197,0.5302456708364655
0.6224361829398226,0.37107637197257115
0.47655626212550223,0.15312456484187847
0.7743944186246365,0.5346400189325731
0.43896767883453935,0.17650892400062929
0.6511276663571304,0.342385584248196
0.7895970009491884,0.5890926945002408
0.8109074806796237,0.6912575486674231
0.30973370776792614,0.12606336159635528
0.4466868950304076,0.338469154898402
0.8575209367859082,0.5939547961043771
0.8991074912936865,0.5877475905060334
0.584952262478299,0.25223466430056607
0.4021478921579662,0.2684456797739626
0.6941935311398109,0.31474445405328844
0.46793211420378394,0.2738156514722853
0.3608367910062979,0.10165374809996384
0.6116184785907715,0.39808080855766503
0.5775974267473538,0.20974028189781949
0.7439841334864934,0.5804345105204729
0.6874656143573307,0.3644355897857541
0.35798841291580974,0.19331167542288993
0.5336036560074231,0.2782636325503778
0.41386405292321304,0.23548056434788606
0.7871741682621092,0.3913491854594303
0.803080335929512,0.5611122656479325
0.6437759848316612,0.4836410905266745
0.614329454063435,0.34887283733406516
0.7287843584857296,0.5072150298945118
0.607833810373064,0.38625704633828883
0.5838273902332665,0.3817735049561236
0.7547824098204301,0.42087584217030194
0.919780273065455,0.7731368834055004
0.4199708492674606,0.20261035125341081
0.5627215304961914,0.3481449644425515
0.7782855119845928,0.5852165637726707
0.9289961946335252,0.7038022507897829
0.8709077656269,0.7391870953870797
0.9596529300218768,0.7224889897580408
0.7640963391325131,0.45012406524391435
0.5643433832043248,0.2607692854671546
0.43730909428607145,0.30519766014208805
1.05466653077101,0.7166122406557874
0.5383711036226508,0.3206135816405452
0.7396247877587205,0.5536112526587493
0.45050128637244025,0.31935343098984564
0.5261193697391611,0.20455318198992706
0.9634704933325562,0.6551756475576171
0.7668024500212547,0.38507096861260715
0.5782662184256426,0.3013564844875984
0.5413912704906314,0.21836922241220852
0.5936315300186856,0.2655165722169526
0.4999192605606738,0.21694915978416557
0.3999030933288047,0.2924844252483991
0.9244935831386256,0.7982163769323847
0.6779924991002262,0.30937859835977843
0.6824819364604227,0.36923016214981497
0.689371566313338,0.3910786710900084
0.4108038172564763,0.22258045010516003
0.7338939345755078,0.4151392807384734
0.3532438533393648,0.177745637105853
0.5980814529679064,0.31770249099643527
0.3831024270699056,0.259256161937624
0.8034232334470846,0.5979714593782939
0.5573639815002485,0.29687183631566144
0.9351309822568048,0.6652208712727082
0.6992778257832677,0.5074686881771995
0.9137654639844413,0.7167979917855346
0.7906283343529241,0.6620823083916753
0.5714102486363033,0.34433047938503347
0.827494403403944,0.6333826342292947
0.7083977799541066,0.5593171550472199
0.5917838589781147,0.3189976762283449
0.5347545295656577,0.19558229450240672
0.94136190325943,0.7728604072901972
0.3616117703866887,0.20199950935519762
0.6737472999679857,0.35941742698030055
0.8386933352411521,0.46411303719892016
0.6433810074161102,0.37681472234452473
0.9090967849698641,0.6124449874382981
0.5879857707957891,0.21989149058063476
0.9518185506131482,0.7786775494948462
0.9328032889986748,0.7559291987990938
0.7722569078722592,0.42146103658185186
0.36962303442292016,0.14554268312584756
0.695722833487193,0.372863679932924
0.6726229889556641,0.532539748434311
0.4958670631955295,0.3435876466610239
0.79605264751417,0.6129372439705569
1.0312760654672921,0.6929090509486129
0.8619949167373051,0.7398356092914539
0.606240791155193,0.30460633103633616
0.9495022756366571,0.7406341061522346
1.006281419454119,0.6856073411303822
1.027513239634998,0.7067685651356355
0.4482622985085226,0.32602431381865776
0.7492653118044678,0.4936635708297553
0.7422663369633361,0.4389185751376552
0.3865495738642639,0.12282804861998489
0.5443243891329328,0.20010603766520602
0.6219310689248606,0.35833533471103507
0.5175923055074014,0.39296053931601016
0.9462762183028843,0.5828444485994346
0.4265032555664524,0.1660862505607185
0.3620992207042704,0.20902443392439973
0.997572353610767,0.7485675185266871
0.46823777154704904,0.2315751156309359
0.7458656240544743,0.6104838076709485
1.0878955275578166,0.7964542580610965
0.7698329114248099,0.44506531594119736
0.48709291299750573,0.3134553697764297
1.0202453576718877,0.6742651536895792
0.9831925904594963,0.6697998509598962
0.8170437809727251,0.5299598540876737
0.575092841646881,0.36310436296634396
0.7701144122093747,0.41349316851855167
0.5237187828691304,0.1598198729129477
0.6105594123648774,0.27806678219722236
0.3411038949626304,0.1612638843671776
0.6872251690466759,0.5794812418631983
0.7463232258836445,0.40348932326392817
0.8100583503089924,0.43622362936126835
0.7553267115060964,0.6465909764723738
0.8757406406337849,0.7520929896675753
0.3083139695651619,0.21740059819088822
0.6540404185406433,0.4890437192055733
0.39707660568311426,0.28615717949340924
0.8146005819922253,0.5669690993942456
0.9590384175452216,0.7673576582412468
0.30598859758318947,0.12782981836760562
1.0150566178009306,0.6852326848642896
0.6353406227773801,0.5314823287970898
0.6863267066265524,0.47729092116692384
0.9267587575001801,0.7235262496458025
0.4877397987288563,0.16252977888247522
0.6194889052895529,0.5169498515931888
0.8085201538693332,0.6586612243215759
0.7392090201858447,0.5651829048052224
0.4926465785847677,0.34765896639729854
0.3343337798303555,0.18170292651235426
0.6211990634151746,0.4097838875130797
0.7688951967359735,0.5212929186909356
0.7947059794419744,0.5494363811993633
0.8261255338416755,0.5087886497171662
1.0918543540084493,0.7968545062877253
0.5764412653439855,0.21230776413783933
0.7881768983622262,0.6264608157311706
0.9835647374824765,0.6635156004891957
1.0300011134704414,0.6726144775851676
0.7966791838443968,0.5966536261635866
0.6649575843103803,0.5307205144470593
0.40246872127306443,0.2889312627889688
0.7232805694991538,0.39265742648489277
0.33142260898093245,0.2041564475442871
0.38642247174304234,0.1237976319436356
0.483642414701022,0.21028722508914366
0.6206914328216487,0.3335863067323207
0.8863177706258205,0.5240541531524425
0.5318560182651129,0.27589177758941963
0.7922103655456078,0.6188690885201208
0.5426914184135371,0.3759221974017659
0.6569028975696038,0.45352590138296256
0.7369505497361926,0.5465796866031138
0.9181386688352664,0.6579119151051077
0.7990382638368574,0.4232965328389069
0.45872134418722976,0.1273156748245799
0.5858729185925429,0.30107322345762666
0.8448738044656814,0.6381232597709005
1.0077996308916717,0.6607736225190686
0.92542185484074,0.7429362059511428
0.9727744236256639,0.7235616855916351
0.753439277899578,0.5067386909223183
0.7237214874358251,0.3326427534980573
0.5867211137684281,0.26841491528377937
0.9382998232609485,0.5909656423502118
0.4545398276900714,0.3202004295641837
0.4345214763401474,0.24955946666050283
0.9164351615977793,0.7763434729575753
0.8949641869261724,0.7693958326952659
0.9387545634726078,0.7947441351659734
0.7975813157025339,0.6207651323543076
0.5298853495260143,0.20239405224887624
0.7949911817876578,0.6012302432551372
1.0233195789327418,0.6691087885911446
0.8345017357513853,0.46538351351096485
0.8579617412466947,0.5232500771076019
0.46999696253171286,0.2783620945334885
0.40571674390709883,0.14532928290745234
0.7172452536466921,0.4672229959073252
0.3703743325854501,0.2540329275871057
0.6083072235103701,0.4281970723339974
0.542992358671532,0.33297851954933344
0.611304836816613,0.329102155200415
0.45211653046087463,0.32836366348196777
0.508734379198784,0.25308502397644717
0.9156517696713882,0.6257224824799745
0.6079581098242595,0.4859982364694575
0.7491609767385847,0.589020915945472
0.5999605700622055,0.3575846692528297
0.555232301007472,0.2671047414939862
0.8213551425614536,0.4522434881413391
0.7901972952970269,0.6007600812327651
1.0449888926373727,0.7274577958517364
0.6136598105977007,0.2548355564439052
0.8491993081025881,0.5551965031553691
0.6018727401352262,0.28582114255035734
0.6634605157330538,0.3734425275839651
0.7305652656172898,0.3960630954551214
0.5402134968461711,0.28052205554849374
0.4865766451702189,0.28335833277141886
0.42724573113677944,0.21729301097876985
0.8392914576761912,0.5248039637699221
0.6475887148826515,0.37465705481515654
0.4378249948615693,0.24090261593264742
0.37622336022729835,0.14066996053029984
0.9046644966357635,0.5395192178127427
0.9776312695557328,0.614764342804641
0.5321744509537605,0.2559717962541671
0.7794452791081729,0.5537626513203312
0.9027791169427484,0.7224256932954914
0.3731648623882093,0.2119792866889423
0.6679906483255738,0.3489181874575732
0.5899615854940079,0.3878811528978734
1.0481060610916748,0.7316508712837916
0.7182732437996467,0.5399411141063809
0.7148553842917711,0.5177768785532503
1.0392564569957905,0.7780785825887057
0.9773137361878128,0.664442215908236
0.6367563186150562,0.2675466039564913
0.5942012607886367,0.30838111182496586
0.6160013785712493,0.43474594851672954
0.4962114046817201,0.29485132100086764
0.7032514266649272,0.5521131259078588
0.36623361277097416,0.1600972588863593
0.6803984000428441,0.40155534372253854
0.9702885655344113,0.7608648808433057
0.786597225939185,0.5388060656028983
1.0039962120357002,0.7840332294132474
0.7121999832191135,0.41614785699220935
0.40171032245228694,0.1842952685434769
0.39350447573933284,0.2910933893364998
0.6491338083810441,0.4175271098930836
0.8237515097851533,0.6958381938897145
0.456894800102841,0.22727515014232288
0.8629491688259971,0.5654305876998309
0.9068370935054721,0.6572790797319559
0.5829614271073595,0.38108450039007513
0.9889213677350337,0.6317948068610932
0.4896062100564078,0.2639122688276665
0.7284799928169055,0.4655492261539369
0.7598590633403097,0.38314235311956557
0.6852756403321738,0.42886309763977193
0.7808117232258921,0.5710740261327778
0.6431830886331638,0.3611557402272698
0.4777429101098423,0.34322013479509816
0.6967124716440594,0.404322209752356
0.6596857857658065,0.5187463387944566
0.569969187758455,0.21533194654037946
0.5452201146833824,0.34271133995961
0.6816668424187462,0.42648949336348807
0.35866036641034904,0.17436689503412645
0.5962858194280787,0.4902791595772855
0.3422390478564254,0.1486987316790098
0.43448525716196296,0.20755104883350706
0.828872913014199,0.5613501896539053
0.4016010245522467,0.13735489537841028
0.7548689429016461,0.5996551655603524
0.6092003787432791,0.38092531188052825
0.9574795638150619,0.6672538868604421
0.5340008418757372,0.19051109789429593
1.0403222731783786,0.7165076070666149
0.7594829141387442,0.42584681591089113
0.7519457614634921,0.4635365379315258
0.4798080649162636,0.2862779393537228
0.3123309234061797,0.7922908227521135
0.597570587607211,0.36432036556775826
0.6599111998045133,0.5458059203991928
0.7616360811711289,0.6467661652393301
0.7247860093399896,0.4925524986772256
0.7018808836155672,0.31740603306440135
1.033463783376327,0.7974931631456725
0.7256545844762405,0.5690740786499151
0.33667293842520446,0.15042545863906354
0.5002632693574413,0.20151062308802684
0.516053477003777,0.3611414017642137
0.5035921991599975,0.1498487305735792
0.6001274123971079,0.4384433591179566
0.855496870323377,0.688346051517904
0.519348686437253,0.40253117926180326
0.6704842433458731,0.33058097153793375
0.982434472529663,0.6847000238140853
0.7312835476966099,0.4089233831887117
0.8888013654062386,0.6409006663631641
0.9858194178163844,0.6751050493969326
0.3171558882304385,0.11102767664652018
0.9625056398271081,0.7116140504230072
0.5230881119487182,0.2964071979267352
0.444554770179853,0.19876007419448055
0.8678844289965992,0.5760737907902828
0.6778210185583797,0.4753360556296884
0.7411383868403664,0.5014682175116297
0.8220280337207,0.47281402122462435
0.9484887359044567,0.6834885435757652
0.6290203369648739,0.25584137275996827
0.9474191889419348,0.7102342109574061
0.5118977204822476,0.3147772048285678
0.33651931616447056,0.10621087071325931
0.965943162651544,0.6427269919292543
0.8225154927152194,0.6896258308561503
0.733119966075154,0.41434618451969174
0.8930043080955912,0.6338245679394274
0.46693941868789457,0.3067768608305006
0.5309863452274346,0.3393598489276684
0.6097220087233268,0.45900822328938085
0.8161702864324352,0.6112466553886108
0.8253717098295976,0.6402307270571335
0.3021091886195102,0.7966940717381733
1.022247726207124,0.677085964242284
0.4436625889036365,0.33216646133290517
0.6525567511990433,0.3890955486530442
0.7141187847259212,0.48866046690368825
0.9123724215733815,0.7022242662450823
0.9842363006123391,0.6945920042662527
0.46480516599130295,0.2842413776423378
0.550767943607072,0.25885667290658254
0.4210705727399948,0.2703013732477687
0.7472504811533796,0.4023510761224167
0.8597057681814149,0.698442906298974
0.432478961017949,0.3148219263473324
0.7405336751379816,0.44813012879374814
0.4364907363934372,0.23765051972423912
0.74493291238155,0.633842518275595
0.46399888984590876,0.23901424825736078
0.631089517429914,0.4520385782215459
0.6329560387938983,0.39851867731181245
0.6036719702969808,0.2517022778371155
0.4133571231474518,0.22837849353473652
0.8375926095890529,0.4866783995363544
0.9581873951551114,0.7741905184919933
0.5026995048179348,0.36328176550386704
0.5563086602570195,0.3054641938793894
0.6358892133009243,0.5220795317978033
0.85103070600492,0.6139944470619828
0.7783166148961569,0.6452544373420486
0.6712489357331389,0.4657923030453691
0.5908870944684272,0.45981552616889365
0.9272151418693348,0.6972200584211279
0.9294485222966733,0.6585447601442308
0.41059384207307564,0.11363289732799106
0.5655304333040698,0.29072729658739355
0.6968718943988287,0.34999862765092726
0.7035578801867324,0.379103671878384
0.4271631567631682,0.2840366897036454
0.8737819520608636,0.6472769990582062
0.6055766968812651,0.22939725673093359
0.8299579577756768,0.659246591813254
0.40959026360069745,0.2311342964314588
0.4986577979949125,0.35467394616035997
0.562479108938175,0.4500084576913127
0.7351269579376627,0.4471784840451093
0.4776469295495112,0.3563280873429405
0.9998006864288951,0.7759083076121494
0.8954300636835848,0.6758944174335701
0.40315437241149804,0.20856037421359463
0.5386000104535823,0.2354661583717414
0.7822941647693566,0.6373395859105853
0.636205150976075,0.3664296845526104
0.35246086931866805,0.23578274959330373
0.8899844731537652,0.6300848096486652
0.693495045135509,0.3620827802279075
1.0826605788803492,0.7679107620687949
0.9321531022953224,0.6106548939683546
0.7633561826157944,0.48684085469108884
0.8712423232173718,0.6954621820238744
0.5928721395296253,0.4847632667208215
0.5839585992385804,0.27141870141384494
0.3876356978656593,0.2552154798428449
0.8007066616790346,0.40933189856752594
0.8645541732616717,0.6470598989292322
0.5224573925516443,0.36491016586942093
0.9466825232991958,0.6388872876566694
0.7253116620191399,0.5278688848793639
0.4933648737457793,0.23584405265876993
0.7016118075915201,0.4864365668168654
0.6662388780000419,0.356012764749829
0.4659854310112183,0.20370133337969287
0.5924853657488414,0.22444897593592694
0.6132359355955757,0.37992074617628213
0.7288022705109276,0.33599507578249166
0.4185857711487251,0.31197606849858206
0.841917791894008,0.5360707516742044
0.3633472343272358,0.13104388877062612
0.34769678611078053,0.10452892410112422
0.4882985065897034,0.23006898351055732
0.37922610622690583,0.10047387065450243
0.47182264030325194,0.3212782716099015
0.4824567139644752,0.2800544139585262
0.9194102626261111,0.6767578005899104
1.0178181115996083,0.6862216799788299
0.8474963117111776,0.4966018007203282
0.8532734961770416,0.5454515318008212
0.6532434442215838,0.4200853567850811
0.8815844368473802,0.5413137364103323
0.91039585065308,0.756573166869333
0.819005290250683,0.5646208358660065
0.37772898730125,0.2230069807989722
0.40383996542621725,0.1984201396955168
0.43353070390802356,0.22881054136809187
0.7207836208833613,0.4238710350333138
1.0091992088922943,0.7919397769727216
1.0555824004375263,0.7299779978925562
0.7376005505576417,0.3965601780430056
0.8030578635128405,0.49155258116221445
0.738259751201259,0.38363923920242116
0.41414013413577605,0.19740299561790076
0.335161265432397,0.20482899022014892
0.9716147314826102,0.7656469771803032
0.44552275178715517,0.14317031962026
0.38946876376969486,0.26724960777924234
0.9490384226287689,0.6931905582782525
