beta,gamma
0.5099843821522829,0.22847624508076617
0.5558333166507663,0.4118231283619034
0.42375837965464647,0.2924691381980151
0.9789893319476941,0.6572992231994704
0.9719544341103425,0.76724456867486
0.8211362673971556,0.5297559112092624
0.6938811224859209,0.478134870363095
0.47585739947422984,0.3085691095777461
0.5391624380434502,0.2421114526282787
0.45078936478037196,0.26368876250074513
0.8931784274456034,0.500943271548384
0.4553911765455112,0.1816923169402349
0.9759539603118899,0.6122314951963936
0.428674128140143,0.11272048431696471
0.46293535772176364,0.3030859640457354
0.8640306575249872,0.5437698072937481
0.7997323990907643,0.6056265675538233
0.8474555292484653,0.45111182152730755
1.0590031568915363,0.7325714568334762
1.0559654198643125,0.7100487820265289
0.8802663212165667,0.7393654800741454
0.512426018916003,0.3589238927920446
0.6394061715621246,0.3747424432544889
0.6894945255740346,0.5252593505892412
0.46920415889355965,0.19362110841233932
0.8844756663739175,0.6985980872506286
0.7708487627657337,0.5918543058493498
0.6573877540891889,0.3205661308278883
0.9681512954102518,0.7429964629526433
0.5149133892870117,0.23233369459416187
0.8816669913246242,0.5745013650136578
1.0635683198647454,0.7320809644714403
0.7396757876287836,0.46124633384309144
0.48081849925598863,0.3365005976861994
0.8776502015385925,0.5932049952257478
0.7856755189698837,0.4871581788173779
0.5196082129802403,0.39080430015225864
0.7614270989537657,0.3775810538004155
0.5875727333964528,0.3657169676366798
0.5786019133116772,0.21631962894552317
0.8337465280523038,0.5168848043409432
0.3912138309733234,0.22399790055675184
0.39825111915237454,0.1921758638165598
0.9669468386442099,0.5691495044985057
0.5070211431657634,0.3502411351328768
0.3291086210013788,0.11461084002003863
0.8141287693747294,0.5712074448769486
0.5672908122926457,0.44077368799794914
1.0140204894321434,0.7475827946167518
0.3028314429658343,0.13467107580382304
0.9876461497595335,0.7198079430102488
0.44550877071149125,0.14902138310978674
0.6059765827354413,0.2580984221414964
0.6293341109829195,0.3332645240689126
0.7268169646842175,0.4770951381996731
0.8502690584860035,0.6492301555012653
0.8987420676530833,0.6800389543500255
0.8289831720657175,0.6014306762141185
0.6734285553806754,0.3552703546528845
0.5510955441668748,0.2715511633067036
0.41278970892011313,0.22675532035699827
0.9093352853347154,0.694395794970013
0.7073143790518528,0.4299343644155086
0.8693353396996137,0.6271343258292121
0.6252996278597087,0.2691672074383485
0.9253092952217068,0.7615128984108036
0.7886555429236914,0.4209184483425662
0.6840825002378649,0.4556019429275736
0.9154374885549084,0.7026635561564523
0.5239336237293699,0.3448531709426402
0.3782314715569312,0.2454356857539658
0.641708946029378,0.29662885702025543
0.7842714473626615,0.6176405565512444
0.5720433461332229,0.3673995643088743
0.8569622724676174,0.6866768169707068
0.8392117631234322,0.5614017858471411
0.9627611285252928,0.7767474860542669
0.651290045840718,0.3565538497768246
0.9523648250833601,0.7001838626506661
0.8510726635620041,0.6271104806706134
0.385860815873937,0.2644796442936481
0.5188252681420159,0.3566496364242151
