,log_beta,pop_infected,cum_inf
0,-2.25,2,7.0
1,-2.25,7,85.0
2,-2.25,12,119.0
3,-2.25,17,117.0
4,-2.25,22,73.0
5,-2.25,27,309.0
6,-2.25,32,399.0
7,-2.25,38,210.0
8,-2.25,43,489.0
9,-2.25,48,451.0
10,-2.25,53,327.0
11,-2.25,58,260.0
12,-2.25,63,813.0
13,-2.25,69,499.0
14,-2.25,74,481.0
15,-2.25,79,490.0
16,-2.25,84,598.0
17,-2.25,89,774.0
18,-2.25,94,759.0
19,-2.25,100,566.0
20,-2.1973684210526314,2,50.0
21,-2.1973684210526314,7,7.0
22,-2.1973684210526314,12,65.0
23,-2.1973684210526314,17,311.0
24,-2.1973684210526314,22,131.0
25,-2.1973684210526314,27,238.0
26,-2.1973684210526314,32,369.0
27,-2.1973684210526314,38,123.0
28,-2.1973684210526314,43,288.0
29,-2.1973684210526314,48,257.0
30,-2.1973684210526314,53,637.0
31,-2.1973684210526314,58,430.0
32,-2.1973684210526314,63,739.0
33,-2.1973684210526314,69,936.0
34,-2.1973684210526314,74,831.0
35,-2.1973684210526314,79,719.0
36,-2.1973684210526314,84,896.0
37,-2.1973684210526314,89,896.0
38,-2.1973684210526314,94,611.0
39,-2.1973684210526314,100,1025.0
40,-2.1447368421052633,2,15.0
41,-2.1447368421052633,7,23.0
42,-2.1447368421052633,12,66.0
43,-2.1447368421052633,17,299.0
44,-2.1447368421052633,22,99.0
45,-2.1447368421052633,27,373.0
46,-2.1447368421052633,32,474.0
47,-2.1447368421052633,38,280.0
48,-2.1447368421052633,43,1496.0
49,-2.1447368421052633,48,1159.0
50,-2.1447368421052633,53,1269.0
51,-2.1447368421052633,58,953.0
52,-2.1447368421052633,63,632.0
53,-2.1447368421052633,69,1967.0
54,-2.1447368421052633,74,1088.0
55,-2.1447368421052633,79,1516.0
56,-2.1447368421052633,84,1123.0
57,-2.1447368421052633,89,1308.0
58,-2.1447368421052633,94,1369.0
59,-2.1447368421052633,100,857.0
60,-2.0921052631578947,2,3.0
61,-2.0921052631578947,7,209.0
62,-2.0921052631578947,12,599.0
63,-2.0921052631578947,17,151.0
64,-2.0921052631578947,22,873.0
65,-2.0921052631578947,27,1154.0
66,-2.0921052631578947,32,571.0
67,-2.0921052631578947,38,811.0
68,-2.0921052631578947,43,900.0
69,-2.0921052631578947,48,2273.0
70,-2.0921052631578947,53,1344.0
71,-2.0921052631578947,58,2061.0
72,-2.0921052631578947,63,1314.0
73,-2.0921052631578947,69,1406.0
74,-2.0921052631578947,74,1168.0
75,-2.0921052631578947,79,1616.0
76,-2.0921052631578947,84,2448.0
77,-2.0921052631578947,89,2037.0
78,-2.0921052631578947,94,3750.0
79,-2.0921052631578947,100,2360.0
80,-2.0394736842105265,2,496.0
81,-2.0394736842105265,7,21.0
82,-2.0394736842105265,12,1716.0
83,-2.0394736842105265,17,653.0
84,-2.0394736842105265,22,1610.0
85,-2.0394736842105265,27,1258.0
86,-2.0394736842105265,32,1569.0
87,-2.0394736842105265,38,2130.0
88,-2.0394736842105265,43,2029.0
89,-2.0394736842105265,48,1359.0
90,-2.0394736842105265,53,2550.0
91,-2.0394736842105265,58,3151.0
92,-2.0394736842105265,63,2195.0
93,-2.0394736842105265,69,2513.0
94,-2.0394736842105265,74,2932.0
95,-2.0394736842105265,79,3709.0
96,-2.0394736842105265,84,4308.0
97,-2.0394736842105265,89,3336.0
98,-2.0394736842105265,94,4013.0
99,-2.0394736842105265,100,4953.0
100,-1.986842105263158,2,319.0
101,-1.986842105263158,7,1378.0
102,-1.986842105263158,12,1230.0
103,-1.986842105263158,17,1012.0
104,-1.986842105263158,22,1559.0
105,-1.986842105263158,27,952.0
106,-1.986842105263158,32,2091.0
107,-1.986842105263158,38,5171.0
108,-1.986842105263158,43,2181.0
109,-1.986842105263158,48,3368.0
110,-1.986842105263158,53,3095.0
111,-1.986842105263158,58,4943.0
112,-1.986842105263158,63,6435.0
113,-1.986842105263158,69,5737.0
114,-1.986842105263158,74,5376.0
115,-1.986842105263158,79,6001.0
116,-1.986842105263158,84,5142.0
117,-1.986842105263158,89,5453.0
118,-1.986842105263158,94,4642.0
119,-1.986842105263158,100,4759.0
120,-1.9342105263157894,2,3.0
121,-1.9342105263157894,7,448.0
122,-1.9342105263157894,12,513.0
123,-1.9342105263157894,17,1877.0
124,-1.9342105263157894,22,1082.0
125,-1.9342105263157894,27,4462.0
126,-1.9342105263157894,32,2666.0
127,-1.9342105263157894,38,5416.0
128,-1.9342105263157894,43,6493.0
129,-1.9342105263157894,48,6292.0
130,-1.9342105263157894,53,7906.0
131,-1.9342105263157894,58,4275.0
132,-1.9342105263157894,63,8295.0
133,-1.9342105263157894,69,8082.0
134,-1.9342105263157894,74,9033.0
135,-1.9342105263157894,79,8146.0
136,-1.9342105263157894,84,9491.0
137,-1.9342105263157894,89,10108.0
138,-1.9342105263157894,94,11424.0
139,-1.9342105263157894,100,10531.0
140,-1.881578947368421,2,718.0
141,-1.881578947368421,7,2909.0
142,-1.881578947368421,12,1026.0
143,-1.881578947368421,17,5387.0
144,-1.881578947368421,22,7814.0
145,-1.881578947368421,27,4001.0
146,-1.881578947368421,32,8770.0
147,-1.881578947368421,38,7856.0
148,-1.881578947368421,43,11452.0
149,-1.881578947368421,48,10723.0
150,-1.881578947368421,53,9828.0
151,-1.881578947368421,58,11450.0
152,-1.881578947368421,63,11980.0
153,-1.881578947368421,69,12627.0
154,-1.881578947368421,74,10507.0
155,-1.881578947368421,79,12258.0
156,-1.881578947368421,84,10906.0
157,-1.881578947368421,89,14084.0
158,-1.881578947368421,94,14503.0
159,-1.881578947368421,100,13859.0
160,-1.8289473684210527,2,2486.0
161,-1.8289473684210527,7,10139.0
162,-1.8289473684210527,12,5367.0
163,-1.8289473684210527,17,9156.0
164,-1.8289473684210527,22,14283.0
165,-1.8289473684210527,27,14694.0
166,-1.8289473684210527,32,14196.0
167,-1.8289473684210527,38,13568.0
168,-1.8289473684210527,43,14866.0
169,-1.8289473684210527,48,14248.0
170,-1.8289473684210527,53,15336.0
171,-1.8289473684210527,58,13368.0
172,-1.8289473684210527,63,15620.0
173,-1.8289473684210527,69,13054.0
174,-1.8289473684210527,74,15435.0
175,-1.8289473684210527,79,17240.0
176,-1.8289473684210527,84,15248.0
177,-1.8289473684210527,89,16660.0
178,-1.8289473684210527,94,16413.0
179,-1.8289473684210527,100,16901.0
180,-1.7763157894736843,2,2.0
181,-1.7763157894736843,7,6608.0
182,-1.7763157894736843,12,14754.0
183,-1.7763157894736843,17,13047.0
184,-1.7763157894736843,22,13344.0
185,-1.7763157894736843,27,15632.0
186,-1.7763157894736843,32,13243.0
187,-1.7763157894736843,38,16631.0
188,-1.7763157894736843,43,14206.0
189,-1.7763157894736843,48,17031.0
190,-1.7763157894736843,53,17699.0
191,-1.7763157894736843,58,18550.0
192,-1.7763157894736843,63,17589.0
193,-1.7763157894736843,69,19455.0
194,-1.7763157894736843,74,18407.0
195,-1.7763157894736843,79,19211.0
196,-1.7763157894736843,84,18399.0
197,-1.7763157894736843,89,18945.0
198,-1.7763157894736843,94,19316.0
199,-1.7763157894736843,100,19061.0
200,-1.723684210526316,2,1755.0
201,-1.723684210526316,7,4281.0
202,-1.723684210526316,12,10616.0
203,-1.723684210526316,17,18017.0
204,-1.723684210526316,22,18802.0
205,-1.723684210526316,27,19045.0
206,-1.723684210526316,32,19788.0
207,-1.723684210526316,38,19270.0
208,-1.723684210526316,43,19516.0
209,-1.723684210526316,48,20578.0
210,-1.723684210526316,53,19781.0
211,-1.723684210526316,58,19240.0
212,-1.723684210526316,63,20999.0
213,-1.723684210526316,69,20584.0
214,-1.723684210526316,74,20371.0
215,-1.723684210526316,79,20768.0
216,-1.723684210526316,84,21143.0
217,-1.723684210526316,89,21017.0
218,-1.723684210526316,94,20472.0
219,-1.723684210526316,100,21458.0
220,-1.6710526315789473,2,2202.0
221,-1.6710526315789473,7,14454.0
222,-1.6710526315789473,12,19853.0
223,-1.6710526315789473,17,20023.0
224,-1.6710526315789473,22,20819.0
