,log_beta,pop_infected,cum_inf
225,-1.6710526315789473,27,20297.0
226,-1.6710526315789473,32,21447.0
227,-1.6710526315789473,38,21740.0
228,-1.6710526315789473,43,21655.0
229,-1.6710526315789473,48,22478.0
230,-1.6710526315789473,53,22207.0
231,-1.6710526315789473,58,21768.0
232,-1.6710526315789473,63,21926.0
233,-1.6710526315789473,69,22446.0
234,-1.6710526315789473,74,21864.0
235,-1.6710526315789473,79,22129.0
236,-1.6710526315789473,84,22285.0
237,-1.6710526315789473,89,22451.0
238,-1.6710526315789473,94,22494.0
239,-1.6710526315789473,100,22624.0
240,-1.618421052631579,2,21199.0
241,-1.618421052631579,7,20429.0
242,-1.618421052631579,12,16994.0
243,-1.618421052631579,17,22340.0
244,-1.618421052631579,22,21386.0
245,-1.618421052631579,27,22858.0
246,-1.618421052631579,32,23197.0
247,-1.618421052631579,38,23328.0
248,-1.618421052631579,43,22955.0
249,-1.618421052631579,48,23170.0
250,-1.618421052631579,53,22468.0
251,-1.618421052631579,58,23232.0
252,-1.618421052631579,63,23093.0
253,-1.618421052631579,69,23527.0
254,-1.618421052631579,74,23742.0
255,-1.618421052631579,79,23599.0
256,-1.618421052631579,84,23559.0
257,-1.618421052631579,89,23963.0
258,-1.618421052631579,94,24112.0
259,-1.618421052631579,100,23964.0
260,-1.5657894736842106,2,18402.0
261,-1.5657894736842106,7,22836.0
262,-1.5657894736842106,12,23343.0
263,-1.5657894736842106,17,23723.0
264,-1.5657894736842106,22,23858.0
265,-1.5657894736842106,27,24029.0
266,-1.5657894736842106,32,23513.0
267,-1.5657894736842106,38,24433.0
268,-1.5657894736842106,43,24630.0
269,-1.5657894736842106,48,24374.0
270,-1.5657894736842106,53,24324.0
271,-1.5657894736842106,58,24415.0
272,-1.5657894736842106,63,24232.0
273,-1.5657894736842106,69,24474.0
274,-1.5657894736842106,74,24609.0
275,-1.5657894736842106,79,24587.0
276,-1.5657894736842106,84,24497.0
277,-1.5657894736842106,89,24580.0
278,-1.5657894736842106,94,24849.0
279,-1.5657894736842106,100,24692.0
280,-1.513157894736842,2,20293.0
281,-1.513157894736842,7,22996.0
282,-1.513157894736842,12,24627.0
283,-1.513157894736842,17,24680.0
284,-1.513157894736842,22,24889.0
285,-1.513157894736842,27,25270.0
286,-1.513157894736842,32,25087.0
287,-1.513157894736842,38,24934.0
288,-1.513157894736842,43,25343.0
289,-1.513157894736842,48,25442.0
290,-1.513157894736842,53,25567.0
291,-1.513157894736842,58,25619.0
292,-1.513157894736842,63,25553.0
293,-1.513157894736842,69,25538.0
294,-1.513157894736842,74,25803.0
295,-1.513157894736842,79,25679.0
296,-1.513157894736842,84,25784.0
297,-1.513157894736842,89,25654.0
298,-1.513157894736842,94,26010.0
299,-1.513157894736842,100,25948.0
300,-1.4605263157894737,2,24388.0
301,-1.4605263157894737,7,22918.0
302,-1.4605263157894737,12,25194.0
303,-1.4605263157894737,17,25348.0
304,-1.4605263157894737,22,26100.0
305,-1.4605263157894737,27,26339.0
306,-1.4605263157894737,32,26381.0
307,-1.4605263157894737,38,26307.0
308,-1.4605263157894737,43,26213.0
309,-1.4605263157894737,48,26541.0
310,-1.4605263157894737,53,26678.0
311,-1.4605263157894737,58,26669.0
312,-1.4605263157894737,63,26594.0
313,-1.4605263157894737,69,26628.0
314,-1.4605263157894737,74,26733.0
315,-1.4605263157894737,79,26682.0
316,-1.4605263157894737,84,26815.0
317,-1.4605263157894737,89,26831.0
318,-1.4605263157894737,94,26555.0
319,-1.4605263157894737,100,26565.0
320,-1.4078947368421053,2,24446.0
321,-1.4078947368421053,7,26652.0
322,-1.4078947368421053,12,26468.0
323,-1.4078947368421053,17,26724.0
324,-1.4078947368421053,22,26717.0
325,-1.4078947368421053,27,27190.0
326,-1.4078947368421053,32,27224.0
327,-1.4078947368421053,38,27301.0
328,-1.4078947368421053,43,27551.0
329,-1.4078947368421053,48,27204.0
330,-1.4078947368421053,53,27533.0
331,-1.4078947368421053,58,27788.0
332,-1.4078947368421053,63,27391.0
333,-1.4078947368421053,69,27619.0
334,-1.4078947368421053,74,27715.0
335,-1.4078947368421053,79,27723.0
336,-1.4078947368421053,84,27652.0
337,-1.4078947368421053,89,27872.0
338,-1.4078947368421053,94,27652.0
339,-1.4078947368421053,100,27861.0
340,-1.355263157894737,2,3010.0
341,-1.355263157894737,7,27168.0
342,-1.355263157894737,12,27860.0
343,-1.355263157894737,17,27722.0
344,-1.355263157894737,22,27941.0
345,-1.355263157894737,27,28350.0
346,-1.355263157894737,32,28191.0
347,-1.355263157894737,38,28515.0
348,-1.355263157894737,43,28112.0
349,-1.355263157894737,48,28337.0
350,-1.355263157894737,53,28203.0
351,-1.355263157894737,58,28661.0
352,-1.355263157894737,63,28181.0
353,-1.355263157894737,69,28647.0
354,-1.355263157894737,74,28810.0
355,-1.355263157894737,79,28579.0
356,-1.355263157894737,84,28459.0
357,-1.355263157894737,89,28616.0
358,-1.355263157894737,94,28803.0
359,-1.355263157894737,100,28799.0
360,-1.3026315789473686,2,28344.0
361,-1.3026315789473686,7,28748.0
362,-1.3026315789473686,12,28962.0
363,-1.3026315789473686,17,28402.0
364,-1.3026315789473686,22,29217.0
365,-1.3026315789473686,27,29498.0
366,-1.3026315789473686,32,29197.0
367,-1.3026315789473686,38,29539.0
368,-1.3026315789473686,43,29341.0
369,-1.3026315789473686,48,29550.0
370,-1.3026315789473686,53,29435.0
371,-1.3026315789473686,58,29609.0
372,-1.3026315789473686,63,29567.0
373,-1.3026315789473686,69,29303.0
374,-1.3026315789473686,74,29684.0
375,-1.3026315789473686,79,29998.0
376,-1.3026315789473686,84,29782.0
377,-1.3026315789473686,89,29528.0
378,-1.3026315789473686,94,29941.0
379,-1.3026315789473686,100,29714.0
380,-1.25,2,25201.0
381,-1.25,7,29319.0
382,-1.25,12,30281.0
383,-1.25,17,29723.0
384,-1.25,22,29898.0
385,-1.25,27,29844.0
386,-1.25,32,30270.0
387,-1.25,38,30879.0
388,-1.25,43,30362.0
389,-1.25,48,30614.0
390,-1.25,53,30837.0
391,-1.25,58,30765.0
392,-1.25,63,30891.0
393,-1.25,69,30455.0
394,-1.25,74,31012.0
395,-1.25,79,30653.0
396,-1.25,84,31177.0
397,-1.25,89,30795.0
398,-1.25,94,30950.0
399,-1.25,100,30957.0
