,log_beta,cum_inf
0,-2.25,290.0
1,-2.23989898989899,215.0
2,-2.2297979797979797,367.0
3,-2.2196969696969697,53.0
4,-2.20959595959596,113.0
5,-2.1994949494949494,527.0
6,-2.1893939393939394,49.0
7,-2.179292929292929,338.0
8,-2.169191919191919,96.0
9,-2.159090909090909,367.0
10,-2.148989898989899,341.0
11,-2.138888888888889,81.0
12,-2.128787878787879,752.0
13,-2.1186868686868685,684.0
14,-2.1085858585858586,594.0
15,-2.0984848484848486,136.0
16,-2.0883838383838382,583.0
17,-2.0782828282828283,251.0
18,-2.0681818181818183,89.0
19,-2.058080808080808,915.0
20,-2.047979797979798,1313.0
21,-2.037878787878788,826.0
22,-2.0277777777777777,1817.0
23,-2.0176767676767677,849.0
24,-2.007575757575758,1023.0
25,-1.9974747474747474,2144.0
26,-1.9873737373737375,3371.0
27,-1.9772727272727273,906.0
28,-1.9671717171717171,1299.0
29,-1.9570707070707072,2914.0
30,-1.946969696969697,2588.0
31,-1.9368686868686869,2767.0
32,-1.9267676767676767,3660.0
33,-1.9166666666666665,5275.0
34,-1.9065656565656566,5924.0
35,-1.8964646464646464,7003.0
36,-1.8863636363636362,2025.0
37,-1.8762626262626263,8757.0
38,-1.8661616161616161,11664.0
39,-1.856060606060606,8868.0
40,-1.845959595959596,9186.0
41,-1.8358585858585859,8056.0
42,-1.8257575757575757,8053.0
43,-1.8156565656565657,8491.0
44,-1.8055555555555556,14901.0
45,-1.7954545454545454,13689.0
46,-1.7853535353535352,14203.0
47,-1.775252525252525,14261.0
48,-1.7651515151515151,14549.0
49,-1.755050505050505,15833.0
50,-1.7449494949494948,17996.0
51,-1.7348484848484849,16684.0
52,-1.7247474747474747,19470.0
53,-1.7146464646464645,19567.0
54,-1.7045454545454546,19603.0
55,-1.6944444444444444,20898.0
56,-1.6843434343434343,20696.0
57,-1.6742424242424243,19794.0
58,-1.6641414141414141,21085.0
59,-1.654040404040404,20130.0
60,-1.643939393939394,20949.0
61,-1.6338383838383836,22158.0
62,-1.6237373737373737,22633.0
63,-1.6136363636363635,21994.0
64,-1.6035353535353534,22972.0
65,-1.5934343434343434,23309.0
66,-1.5833333333333333,23258.0
67,-1.573232323232323,23040.0
68,-1.5631313131313131,23717.0
69,-1.553030303030303,24552.0
70,-1.5429292929292928,23445.0
71,-1.5328282828282829,24759.0
72,-1.5227272727272727,24604.0
73,-1.5126262626262625,24883.0
74,-1.5025252525252526,24143.0
75,-1.4924242424242422,24961.0
76,-1.4823232323232323,25615.0
77,-1.4722222222222223,25885.0
78,-1.462121212121212,26389.0
79,-1.452020202020202,25809.0
80,-1.4419191919191918,25817.0
81,-1.4318181818181817,26201.0
82,-1.4217171717171717,27020.0
83,-1.4116161616161615,27172.0
84,-1.4015151515151514,27472.0
85,-1.3914141414141414,27402.0
86,-1.3813131313131313,27497.0
87,-1.371212121212121,27315.0
88,-1.3611111111111112,27924.0
89,-1.3510101010101008,27764.0
90,-1.3409090909090908,27995.0
91,-1.3308080808080809,28413.0
92,-1.3207070707070705,28645.0
93,-1.3106060606060606,28991.0
94,-1.3005050505050504,28880.0
95,-1.2904040404040402,28676.0
96,-1.2803030303030303,29965.0
97,-1.27020202020202,30126.0
98,-1.26010101010101,29989.0
99,-1.25,30111.0
